0: [BLANK]
1: cà-1 8.415368
2: c#-1 8.661957
3: c#à-1 8.915771
4: d-1 9.177024
5: dà-1 9.445931
6: d#-1 9.722718
7: d#à-1 10.007616
8: e-1 10.300861
9: eà-1 10.602699
10: f-1 10.913383
11: fà-1 11.233169
12: f#-1 11.562325
13: f#à-1 11.901128
14: g-1 12.249857
15: gà-1 12.608806
16: g#-1 12.978271
17: g#à-1 13.358564
18: a-1 13.750000
19: aà-1 14.152905
20: a#-1 14.567617
21: a#à-1 14.994481
22: b-1 15.433853
23: bà-1 15.886100
24: c0 16.351599
25: cà0 16.830736
26: c#0 17.323914
27: c#à0 17.831543
28: d0 18.354048
29: dà0 18.891863
30: d#0 19.445436
31: d#à0 20.015232
32: e0 20.601723
33: eà0 21.205399
34: f0 21.826765
35: fà0 22.466337
36: f#0 23.124651
37: f#à0 23.802256
38: g0 24.499714
39: gà0 25.217611
40: g#0 25.956543
41: g#à0 26.717129
42: a0 27.500000
43: aà0 28.305811
44: a#0 29.135235
45: a#à0 29.988962
46: b0 30.867706
47: bà0 31.772200
48: c1 32.703197
49: cà1 33.661472
50: c#1 34.647827
51: c#à1 35.663086
52: d1 36.708096
53: dà1 37.783726
54: d#1 38.890873
55: d#à1 40.030464
56: e1 41.203445
57: eà1 42.410797
58: f1 43.653530
59: fà1 44.932674
60: f#1 46.249302
61: f#à1 47.604511
62: g1 48.999428
63: gà1 50.435223
64: g#1 51.913086
65: g#à1 53.434258
66: a1 55.000000
67: aà1 56.611622
68: a#1 58.270470
69: a#à1 59.977924
70: b1 61.735413
71: bà1 63.544399
72: c2 65.406395
73: cà2 67.322945
74: c#2 69.295654
75: c#à2 71.326172
76: d2 73.416191
77: dà2 75.567451
78: d#2 77.781746
79: d#à2 80.060928
80: e2 82.406891
81: eà2 84.821594
82: f2 87.307060
83: fà2 89.865349
84: f#2 92.498604
85: f#à2 95.209023
86: g2 97.998856
87: gà2 100.870445
88: g#2 103.826172
89: g#à2 106.868515
90: a2 110.000000
91: aà2 113.223244
92: a#2 116.540939
93: a#à2 119.955849
94: b2 123.470825
95: bà2 127.088799
96: c3 130.812790
97: cà3 134.645889
98: c#3 138.591309
99: c#à3 142.652344
100: d3 146.832382
101: dà3 151.134903
102: d#3 155.563492
103: d#à3 160.121857
104: e3 164.813782
105: eà3 169.643188
106: f3 174.614120
107: fà3 179.730698
108: f#3 184.997208
109: f#à3 190.418045
110: g3 195.997711
111: gà3 201.740891
112: g#3 207.652344
113: g#à3 213.737030
114: a3 220.000000
115: aà3 226.446487
116: a#3 233.081879
117: a#à3 239.911697
118: b3 246.941650
119: bà3 254.177597
120: c4 261.625580
121: cà4 269.291779
122: c#4 277.182617
123: c#à4 285.304688
124: d4 293.664764
125: dà4 302.269806
126: d#4 311.126984
127: d#à4 320.243713
128: e4 329.627563
129: eà4 339.286377
130: f4 349.228241
131: fà4 359.461395
132: f#4 369.994415
133: f#à4 380.836090
134: g4 391.995422
135: gà4 403.481781
136: g#4 415.304688
137: g#à4 427.474060
138: a4 440.000000
139: aà4 452.892975
140: a#4 466.163757
141: a#à4 479.823395
142: b4 493.883301
143: bà4 508.355194
144: c5 523.251160
145: cà5 538.583557
146: c#5 554.365234
147: c#à5 570.609375
148: d5 587.329529
149: dà5 604.539612
150: d#5 622.253967
151: d#à5 640.487427
152: e5 659.255127
153: eà5 678.572754
154: f5 698.456482
155: fà5 718.922791
156: f#5 739.988831
157: f#à5 761.672180
158: g5 783.990845
159: gà5 806.963562
160: g#5 830.609375
161: g#à5 854.948120
162: a5 880.000000
163: aà5 905.785950
164: a#5 932.327515
165: a#à5 959.646790
166: b5 987.766602
167: bà5 1016.710388
168: c6 1046.502319
169: cà6 1077.167114
170: c#6 1108.730469
171: c#à6 1141.218750
172: d6 1174.659058
173: dà6 1209.079224
174: d#6 1244.507935
175: d#à6 1280.974854
176: e6 1318.510254
177: eà6 1357.145508
178: f6 1396.912964
179: fà6 1437.845581
180: f#6 1479.977661
181: f#à6 1523.344360
182: g6 1567.981689
183: gà6 1613.927124
184: g#6 1661.218750
185: g#à6 1709.896240
186: a6 1760.000000
187: aà6 1811.571899
188: a#6 1864.655029
189: a#à6 1919.293579
190: b6 1975.533203
191: bà6 2033.420776
192: c7 2093.004639
193: cà7 2154.334229
194: c#7 2217.460938
195: c#à7 2282.437500
196: d7 2349.318115
197: dà7 2418.158447
198: d#7 2489.015869
199: d#à7 2561.949707
200: e7 2637.020508
201: eà7 2714.291016
202: f7 2793.825928
203: fà7 2875.691162
204: f#7 2959.955322
205: f#à7 3046.688721
206: g7 3135.963379
207: gà7 3227.854248
208: g#7 3322.437500
209: g#à7 3419.792480
210: a7 3520.000000
211: aà7 3623.143799
212: a#7 3729.310059
213: a#à7 3838.587158
214: b7 3951.066406
215: bà7 4066.841553
216: c8 4186.009277
217: cà8 4308.668457
218: c#8 4434.921875
